,title,type,built_area,land_area,price,rooms,link
89,Jervois Road,Good-class Bungalow,10000,15070,35000000,6,stproperty.sg/listings/74941932/for-sale-jervois-road-hilltop-above-the-rest
90,Shamrock Park,Detached,6600,6569,10000000,5,stproperty.sg/listings/84774941/for-sale-shamrock-park-existing-detached-sitting-on-a-6600-sqft-land-for
91,Palm avenue,Detached,4905,4905,7500000,8,stproperty.sg/listings/87305131/for-sale-palm-avenue-bungalow-near-east-coast-park
92,Jervois Road,Good-class Bungalow,10000,15070,35000000,6,stproperty.sg/listings/74941932/for-sale-jervois-road-hilltop-above-the-rest
93,Jervois Road,Detached,10000,15056,30000000,6,stproperty.sg/listings/83082592/for-sale-jervois-road-prime-gcb-area-near-embassies-and-orchard-rd
94,Leedon Road,Good-class Bungalow,10000,16000,25000000,5,stproperty.sg/listings/85669661/for-sale-leedon-road-gcb-for-sale-near-holland-village
95,Sixth Avenue,Detached,3500,12500,20500000,3,stproperty.sg/listings/80300722/for-sale-sixth-avenue-build-your-mansion-in-the-sky-bukit-timah
96,Astrid Hill,Good-class Bungalow,31500,31500,45000000,6,stproperty.sg/listings/87042881/for-sale-astrid-hill-astrid-hill-good-class-bungalow
97,Ewart Park,Good-class Bungalow,6500,17000,28888000,6,stproperty.sg/listings/85480751/for-sale-ewart-park-black-n-white-bungalow-non-conservation
98,Sixth Avenue,Detached,3500,12500,20500000,3,stproperty.sg/listings/80300542/for-sale-sixth-avenue-build-your-mansion-in-the-sky-bukit-timah
99,Greenleaf View,Detached,7500,4700,11888000,5,stproperty.sg/listings/87071581/for-sale-greenleaf-view-brand-new-modern-detached-house-must-view
100,Ban Guan Park,Detached,7284,4487,11680000,6,stproperty.sg/listings/78526822/for-sale-ban-guan-park-modern-contemporary-detached-with-lift-basemen
101,Namly View,Detached,11250,5100,12380000,5,stproperty.sg/listings/83391512/for-sale-namly-view-award-winning-detached-house
102,Coronation Road,Detached,12280,8902,18000000,7,stproperty.sg/listings/84337331/for-sale-coronation-road-brand-new-gcb-feeling
103,MARGOLIOUTH ROAD,Good-class Bungalow,7500,17500,35000000,8,stproperty.sg/listings/84500481/for-sale-margoliouth-road-rebuilt-house-near-orchard-road-with-wide-frontag
104,Dalvey Villas,Good-class Bungalow,12500,15200,32000000,5,stproperty.sg/listings/83600991/for-sale-dalvey-villas-rare-gcb-on-dalvey-for-sale
